3,Kurskaya,???????,5+10,13/03/1938,?30.7 m,"pylon, triple-vault",55°45?27?N 37°39?28?E? / ?55.7576°N 37.6577°E? / 55.7576; 37.6577? (Kurskaya (Arbatsko-Pokrovskaya line))
3,Baumanskaya,??????????,,18/01/1944,?32.5 m,"pylon, triple-vault",55°46?23?N 37°40?50?E? / ?55.7730°N 37.6806°E? / 55.7730; 37.6806? (Baumanskaya)
3,Elektrozavodskaya,????????????????,,15/05/1944,?31.5 m,"pylon, triple-vault",55°46?54?N 37°42?13?E? / ?55.7817°N 37.7037°E? / 55.7817; 37.7037? (Elektrozavodskaya)
3,Semyonovskaya,???????????,,18/01/1944,?40 m,"pylon, triple-vault",55°47?00?N 37°43?15?E? / ?55.7833°N 37.7208°E? / 55.7833; 37.7208? (Semyonovskaya)
3,Partizanskaya,????????????,14,18/01/1944,?9 m,"column, triple-span",55°47?19?N 37°45?02?E? / ?55.7886°N 37.7506°E? / 55.7886; 37.7506? (Partizanskaya)
3,Izmaylovskaya,????????????,,21/10/1961,0 m,"surface, open",55°47?16?N 37°46?53?E? / ?55.7878°N 37.7814°E? / 55.7878; 37.7814? (Izmaylovskaya)
3,Pervomayskaya,????????????,,21/10/1961,?7 m,"column, triple-span",55°47?41?N 37°47?57?E? / ?55.7948°N 37.7993°E? / 55.7948; 37.7993? (Pervomayskaya)
3,Shchyolkovskaya,??????????,,22/07/1963,?8 m,"column, triple-span",55°48?34?N 37°47?55?E? / ?55.8094°N 37.7986°E? / 55.8094; 37.7986? (Shchyolkovskaya)
4,Kuntsevskaya,??????????,3,31/08/1965,0 m,"surface, open",55°43?51?N 37°26?45?E? / ?55.7307°N 37.4459°E? / 55.7307; 37.4459? (Kuntsevskaya)
4,Pionerskaya,??????????,,13/10/1961,0 m,"surface, open",55°44?10?N 37°28?02?E? / ?55.7360°N 37.4671°E? / 55.7360; 37.4671? (Pionerskaya)
